% OBJECT  = 'HR 1087'
% UT      = 2008-11-14
% EW      =  -3.36530
 649.165283   0.978788
 649.186646   0.978501
 649.208069   0.978225
 649.229431   0.977960
 649.250854   0.977707
 649.272217   0.977466
 649.293579   0.977236
 649.314941   1.006994
 649.336304   1.022947
 649.357666   1.029964
 649.379028   1.053599
 649.400330   1.019868
 649.421692   1.012726
 649.442993   1.016413
 649.464355   1.017843
 649.485718   1.025591
 649.506958   1.020331
 649.528320   1.005121
 649.549622   0.999203
 649.570923   0.972659
 649.592224   0.981179
 649.613525   1.001402
 649.634827   1.011522
 649.656128   1.009943
 649.677368   1.007363
 649.698608   0.995441
 649.719910   0.988741
 649.741211   0.992418
 649.762451   0.983997
 649.783691   1.007889
 649.804993   1.011776
 649.826233   1.001782
 649.847473   1.022373
 649.868713   1.015611
 649.889954   0.998615
 649.911133   1.006125
 649.932373   0.976124
 649.953613   0.988419
 649.974792   0.991510
 649.995972   1.012284
 650.017212   1.004622
 650.038452   0.993756
 650.059631   1.003411
 650.080811   0.985648
 650.101990   0.993101
 650.123169   1.005194
 650.144348   1.002826
 650.165466   1.007562
 650.186646   0.987479
 650.207825   1.005976
 650.228943   0.986853
 650.250122   0.992619
 650.271301   0.981179
 650.292419   0.988483
 650.313538   0.989930
 650.334656   1.003707
 650.355835   0.999886
 650.376892   0.994606
 650.398071   1.010527
 650.419128   1.005309
 650.440247   1.006606
 650.461304   1.008736
 650.482422   1.000091
 650.503540   0.999896
 650.524597   1.008394
 650.545715   1.010792
 650.566772   0.998485
 650.587830   1.020093
 650.608948   1.008071
 650.630005   0.987044
 650.651001   1.006379
 650.672058   0.998233
 650.693115   0.980196
 650.714172   1.004963
 650.735229   0.990513
 650.756226   0.991362
 650.777222   1.012813
 650.798279   0.998659
 650.819275   0.996113
 650.840332   0.971901
 650.861328   0.983230
 650.882324   0.997562
 650.903320   1.001445
 650.924316   0.998707
 650.945312   1.002944
 650.966309   0.991005
 650.987244   0.996625
 651.008240   0.997690
 651.029175   0.997538
 651.050171   0.997211
 651.071167   0.991614
 651.092102   0.999183
 651.113037   1.009898
 651.133972   1.000700
 651.154907   1.008240
 651.175903   1.006859
 651.196777   1.007291
 651.217712   1.011527
 651.238647   1.028579
 651.259583   1.051860
 651.280457   1.049576
 651.301392   1.042764
 651.322266   1.039674
 651.343140   1.027692
 651.364075   1.029856
 651.384888   1.016187
 651.405823   1.009051
 651.426697   0.997946
 651.447571   0.966181
 651.468384   0.952869
 651.489319   0.958410
 651.510132   0.969317
 651.531006   0.967956
 651.551880   0.963526
 651.572693   0.955570
 651.593506   0.947993
 651.614380   0.947808
 651.635132   0.916463
 651.656006   0.904135
 651.676819   0.936644
 651.697632   0.971984
 651.718445   0.985510
 651.739258   0.997454
 651.760071   1.006753
 651.780823   0.990615
 651.801636   0.991714
 651.822388   1.023598
 651.843140   1.030031
 651.863953   1.025940
 651.884705   1.028433
 651.905457   1.011106
 651.926208   0.988793
 651.946960   0.982011
 651.967712   0.978600
 651.988464   0.995878
 652.009216   0.995033
 652.029968   0.970973
 652.050659   0.976802
 652.071411   0.975254
 652.092163   0.966422
 652.112854   0.974090
 652.133545   0.978450
 652.154236   0.973083
 652.174927   0.961554
 652.195679   0.966066
 652.216370   0.967084
 652.237000   0.965052
 652.257690   0.975561
 652.278381   0.962270
 652.299072   0.972043
 652.319702   0.963241
 652.340393   0.955707
 652.361023   0.942947
 652.381714   0.942829
 652.402344   0.951017
 652.422974   0.973809
 652.443604   0.967153
 652.464233   0.990111
 652.484863   0.981776
 652.505493   0.977007
 652.526123   0.980459
 652.546753   0.993097
 652.567322   0.978944
 652.587952   0.978783
 652.608521   0.978420
 652.629089   0.978997
 652.649719   0.986594
 652.670288   0.982203
 652.690857   0.995866
 652.711426   0.985775
 652.732056   0.986749
 652.752563   0.977494
 652.773132   0.990505
 652.793701   0.992360
 652.814270   0.983477
 652.834778   1.005492
 652.855347   0.992512
 652.875854   1.007868
 652.896362   1.005747
 652.916870   1.001770
 652.937378   1.014856
 652.957947   1.000584
 652.978455   0.999366
 652.998962   0.997949
 653.019409   0.988710
 653.039917   0.991157
 653.060425   0.996455
 653.080933   0.987878
 653.101440   1.010062
 653.121887   1.007300
 653.142334   1.013409
 653.162781   0.999698
 653.183228   0.993843
 653.203735   0.989707
 653.224182   0.980533
 653.244629   0.985764
 653.265076   1.002731
 653.285522   1.010681
 653.305969   1.011004
 653.326355   1.023634
 653.346802   1.016453
 653.367188   1.006836
 653.387573   0.995640
 653.408020   0.990106
 653.428406   0.995646
 653.448853   0.990014
 653.469177   0.995454
 653.489624   1.021903
 653.509949   1.002309
 653.530396   1.000818
 653.550720   1.001490
 653.571106   1.004620
 653.591431   1.017403
 653.611816   1.007454
 653.632202   1.013682
 653.652527   0.993997
 653.672852   1.008171
 653.693237   0.989103
 653.713501   1.004821
 653.733826   1.011722
 653.754211   1.018612
 653.774536   1.009509
 653.794800   1.017647
 653.815125   1.005486
 653.835449   1.013625
 653.855713   1.003752
 653.876038   1.011807
 653.896362   1.001881
 653.916626   1.010796
 653.936890   1.029448
 653.957153   1.002051
 653.977417   1.009499
 653.997681   1.006736
 654.017944   0.988169
 654.038208   1.000986
 654.058472   0.994009
 654.078735   1.006632
 654.098938   0.994063
 654.119202   0.993515
 654.139404   0.999045
 654.159607   1.002557
 654.179810   1.012726
 654.200073   0.991113
 654.220276   0.985086
 654.240479   0.990179
 654.260681   1.000420
 654.280884   1.016528
 654.301086   1.005604
 654.321289   0.998166
 654.341431   0.987602
 654.361633   0.973658
 654.381775   0.948857
 654.401978   0.961200
 654.422119   0.991516
 654.442261   0.988490
 654.462463   1.005145
 654.482544   0.998994
 654.502747   0.997778
 654.522827   0.992765
 654.543030   0.990433
 654.563110   0.987205
 654.583252   0.984537
 654.603394   1.002316
 654.623474   0.996321
 654.643616   0.989031
 654.663696   0.993533
 654.683777   1.023724
 654.703918   1.015403
 654.723999   1.005557
 654.744019   0.989666
 654.764160   0.998308
 654.784241   1.004856
 654.804321   1.006269
 654.824341   1.010462
 654.844421   0.992970
 654.864441   0.996582
 654.884521   1.005009
 654.904602   1.028845
 654.924622   1.028039
 654.944641   1.025305
 654.964661   1.036732
 654.984741   1.027574
 655.004761   1.039131
 655.024780   1.030052
 655.044739   1.073057
 655.064758   1.060790
 655.084778   1.066925
 655.104736   1.086474
 655.124756   1.077723
 655.144714   1.082284
 655.164673   1.101221
 655.184692   1.098503
 655.204651   1.111129
 655.224609   1.108441
 655.244568   1.083209
 655.264526   1.100848
 655.284546   1.135332
 655.304443   1.175281
 655.324341   1.197391
 655.344360   1.208702
 655.364258   1.206476
 655.384155   1.231368
 655.404114   1.263359
 655.424011   1.269420
 655.443970   1.301725
 655.463867   1.319635
 655.483765   1.341064
 655.503662   1.363478
 655.523560   1.418490
 655.543457   1.432829
 655.563354   1.480798
 655.583191   1.533562
 655.603088   1.595706
 655.622925   1.623559
 655.642822   1.683782
 655.662659   1.728621
 655.682495   1.801125
 655.702393   1.861380
 655.722229   1.947972
 655.742065   2.072261
 655.761902   2.194275
 655.781738   2.295339
 655.801575   2.402575
 655.821411   2.563210
 655.841187   2.701694
 655.860962   2.858768
 655.880798   3.064426
 655.900574   3.237752
 655.920410   3.435790
 655.940186   3.647003
 655.959961   3.836104
 655.979736   4.105216
 655.999512   4.357694
 656.019287   4.551909
 656.039062   4.820571
 656.058838   4.988894
 656.078613   5.130551
 656.098328   5.172417
 656.118103   5.157042
 656.137817   5.150324
 656.157593   5.067677
 656.177307   4.825754
 656.197021   4.170108
 656.216736   3.334252
 656.236450   2.553727
 656.256226   2.153686
 656.275879   2.358944
 656.295593   3.022784
 656.315308   3.883454
 656.335022   4.610885
 656.354675   4.992371
 656.374390   5.190183
 656.394043   5.161803
 656.413696   5.070000
 656.433411   5.093567
 656.453003   5.085973
 656.472717   4.987410
 656.492371   4.710884
 656.512024   4.488610
 656.531616   4.251659
 656.551331   4.042175
 656.570923   3.796128
